rhor,xne,xni,xte,xti,xer,fz1,fracz,exlti,exlte,vpolC,vtorC,exlni,q,zbar2
0.00E+00,4.46E+19,4.35E+19,1.34E+03,1.36E+03,8.36E+02,1.88E+18,2.50E-02,30,53.728,0.00E+00,2.32E+04,438.11154,3.17E-01,6
5.00E-03,4.46E+19,4.34E+19,1.34E+03,1.36E+03,8.66E+02,1.88E+18,2.50E-02,30.218512,17.908,-9.35E-04,2.32E+04,13.812,3.17E-01,6
1.00E-02,4.45E+19,4.34E+19,1.34E+03,1.36E+03,9.10E+02,1.88E+18,2.50E-02,11.082224,13.428,-7.48E-03,2.32E+04,6.850287,3.17E-01,6
1.50E-02,4.45E+19,4.34E+19,1.34E+03,1.36E+03,9.66E+02,1.88E+18,2.50E-02,6.2587857,8.949333333,-2.52E-02,2.32E+04,4.388711,3.17E-01,6
2.00E-02,4.45E+19,4.33E+19,1.34E+03,1.36E+03,1.03E+03,1.88E+18,2.50E-02,4.2109251,6.709,-5.98E-02,2.32E+04,3.1726463,3.18E-01,6
2.50E-02,4.45E+19,4.33E+19,1.34E+03,1.36E+03,1.10E+03,1.87E+18,2.50E-02,3.1228521,4.023,-1.17E-01,2.32E+04,2.4665139,3.21E-01,6
3.00E-02,4.44E+19,4.32E+19,1.34E+03,1.36E+03,1.17E+03,1.87E+18,2.50E-02,2.4692287,4.872727273,-2.02E-01,2.32E+04,2.0139465,3.24E-01,6
3.50E-02,4.44E+19,4.32E+19,1.34E+03,1.36E+03,1.25E+03,1.87E+18,2.50E-02,2.0385268,3.825428571,-3.21E-01,2.32E+04,1.7054315,3.29E-01,6
4.00E-02,4.43E+19,4.31E+19,1.34E+03,1.36E+03,1.33E+03,1.87E+18,2.50E-02,1.7407559,3.821428571,-4.79E-01,2.32E+04,1.4850411,3.34E-01,6
4.50E-02,4.43E+19,4.30E+19,1.34E+03,1.35E+03,1.42E+03,1.87E+18,2.50E-02,1.524361,3.143764706,-6.81E-01,2.32E+04,1.3218452,3.40E-01,6
