rhor,xne,xni,xte,xti,xer,fz1,fracz,exlti,exlte,vpolC,vtorC,exlni
0.00E+00,9.18E+19,6.58E+19,1877.4444,2416.8516,4230.823,2.48E+19,0.025,0,0,0,202618,-1134.8047
5.00E-03,9.17E+19,6.58E+19,1876.7302,2.42E+03,4.48E+03,2.48E+19,0.025,37.475063,83.49515,-0.000701395,202513.33,33.622162
1.00E-02,9.16E+19,6.57E+19,1876.0077,2.41E+03,4.81E+03,2.48E+19,0.025,13.735974,30.382977,-0.005611162,202406.91,13.539724
1.50E-02,9.15E+19,6.57E+19,1875.2684,2.41E+03,5.19E+03,2.47E+19,0.025,7.7392249,17.032287,-0.018937672,202296.97,7.8567204
2.00E-02,9.14E+19,6.57E+19,1874.5041,2.41E+03,5.61E+03,2.47E+19,0.025,5.2039204,11.384286,-0.044889296,202181.78,5.355927
2.50E-02,9.14E+19,6.56E+19,1873.7064,2.41E+03,6.06E+03,2.46E+19,0.025,3.8601224,8.3838795,-0.087674417,202059.56,3.9918694
3.00E-02,9.12E+19,6.56E+19,1872.8669,2.41E+03,6.53E+03,2.46E+19,0.025,3.0462358,6.5793008,-0.15150138,201928.56,3.1578479
3.50E-02,9.11E+19,6.55E+19,1871.9772,2.41E+03,7.01E+03,2.45E+19,0.025,2.513339,5.3899344,-0.24057859,201787.04,2.6034338
4.00E-02,9.10E+19,6.55E+19,1871.029,2.40E+03,7.52E+03,2.44E+19,0.025,2.1437881,4.5701121,-0.35911437,201633.23,2.2177889
4.50E-02,9.08E+19,6.54E+19,1870.014,2.40E+03,8.03E+03,2.43E+19,0.025,1.8749287,3.9723705,-0.51131724,201465.37,1.9349893
5.00E-02,9.07E+19,6.53E+19,1868.9238,2.40E+03,8.56E+03,2.42E+19,0.025,1.6745952,3.526236,-0.70139533,201281.73,1.7231348
5.50E-02,9.05E+19,6.52E+19,1867.75,2.39E+03,9.10E+03,2.41E+19,0.025,1.5226536,3.1862724,-0.93355713,201080.53,1.5612963
6.00E-02,9.03E+19,6.51E+19,1866.4843,2.39E+03,9.65E+03,2.40E+19,0.025,1.4072093,2.9274615,-1.2119705,200860.02,1.4366361
6.50E-02,9.00E+19,6.50E+19,1865.1183,2.39E+03,1.02E+04,2.38E+19,0.025,1.3186368,2.7267152,-1.5409106,200618.46,1.3402416
7.00E-02,8.98E+19,6.49E+19,1863.6436,2.38E+03,1.08E+04,2.37E+19,0.025,1.2508705,2.571511,-1.9245698,200354.08,1.2654898
7.50E-02,8.95E+19,6.48E+19,1862.0519,2.38E+03,1.14E+04,2.36E+19,0.025,1.2008169,2.454662,-2.3671463,200065.12,1.2095672
8.00E-02,8.92E+19,6.46E+19,1860.3349,2.37E+03,1.20E+04,2.34E+19,0.025,1.167092,2.3716465,-2.8728476,199750.07,1.169596
8.50E-02,8.89E+19,6.45E+19,1858.4842,2.37E+03,1.26E+04,2.33E+19,0.025,1.1471605,2.3167746,-3.4458837,199409.09,1.1430002
9.00E-02,8.85E+19,6.43E+19,1856.4914,2.36E+03,1.32E+04,2.31E+19,0.025,1.1399966,2.289631,-4.0904621,199043.09,1.1297491
9.50E-02,8.82E+19,6.42E+19,1854.3482,2.36E+03,1.39E+04,2.29E+19,0.025,1.1452104,2.2864045,-4.8107902,198653.01,1.1282474
1.00E-01,8.79E+19,6.40E+19,1852.0472,2.35E+03,1.47E+04,2.28E+19,0.025,1.1596514,2.3020558,-5.6110785,198239.78,1.1352473
1.05E-01,8.75E+19,6.38E+19,1849.5878,2.34E+03,1.55E+04,2.26E+19,0.025,1.1815246,2.3315122,-6.4955329,197804.31,1.1481724
1.10E-01,8.71E+19,6.36E+19,1846.9729,2.34E+03,1.63E+04,2.24E+19,0.025,1.1989396,2.3525521,-7.4683645,197347.54,1.156492
1.15E-01,8.68E+19,6.34E+19,1844.205,2.33E+03,1.71E+04,2.23E+19,0.025,1.1945949,2.3305556,-8.5337803,196870.39,1.1436307
1.20E-01,8.64E+19,6.32E+19,1841.2869,2.32E+03,1.79E+04,2.21E+19,0.025,1.1496928,2.2298641,-9.6959148,196373.79,1.0917916
1.25E-01,8.60E+19,6.30E+19,1838.2212,2.31E+03,1.86E+04,2.19E+19,0.025,1.0623467,2.0485478,-10.959091,195861.67,1.000471
1.30E-01,8.56E+19,6.28E+19,1835.0107,2307.0361,19268.621,2.17E+19,0.025,0.98266578,1.8839279,-12.327722,195356.78,0.91787326
1.35E-01,8.52E+19,6.25E+19,1831.6581,2299.0251,19886.429,2.16E+19,0.025,0.92331165,1.759885,-13.805338,194831.08,0.85545665
1.40E-01,8.47E+19,6.23E+19,1828.1659,2290.756,20474.07,2.14E+19,0.025,0.87771589,1.6632968,-15.396794,194285.37,0.80644357
