rhor,xne,xni,xte,xti,xer,fracz,exlti,exlte,vtorC,vpolC,fz1,exlni
0.00E+00,6.25E+19,5.15E+19,3544.7887,3696.7363,42093.964,0.025,100,35,328966.52,-0.00068,1.12E+19,162.96597
5.00E-03,6.25E+19,5.15E+19,3544.467,3696.569,39616.619,0.025,62.396225,31.243212,328947.2,-0.000679618,1.12E+19,49.715466
1.00E-02,6.25E+19,5.15E+19,3543.5103,3696.0692,37224.548,0.025,22.866505,11.509689,328889.5,-0.005436943,1.12E+19,-883.21259
1.50E-02,6.25E+19,5.15E+19,3541.9312,3695.2391,34936.745,0.025,12.84453,6.5068209,328793.85,-0.018349683,1.12E+19,-29.017729
2.00E-02,6.25E+19,5.15E+19,3539.7421,3694.0789,32778.503,0.025,8.6283312,4.3951958,328660.74,-0.043495547,1.12E+19,-13.459787
2.50E-02,6.26E+19,5.15E+19,3536.9554,3692.5938,30780.458,0.025,6.3874488,3.2725152,328490.45,-0.084952248,1.12E+19,-8.4901619
3.00E-02,6.26E+19,5.15E+19,3533.5833,3690.7833,28976.871,0.025,5.0303879,2.5937068,328283.54,-0.14679747,1.12E+19,-6.1477308
3.50E-02,6.26E+19,5.15E+19,3529.638,3688.6516,27407.352,0.025,4.1433296,2.1502572,328040.31,-0.23310895,1.12E+19,-4.8233876
4.00E-02,6.27E+19,5.16E+19,3525.1315,3686.1992,26114.62,0.025,3.5268214,1.8422893,327761.29,-0.34796438,1.12E+19,-3.9864821
4.50E-02,6.28E+19,5.16E+19,3520.0757,3683.428,25127.748,0.025,3.0824804,1.6200652,327446.9,-0.49544155,1.12E+19,-3.4295499
5.00E-02,6.28E+19,5.16E+19,3514.4824,3680.3422,24498.999,0.025,2.7501554,1.4545793,327097.56,-0.67961798,1.12E+19,-3.0410173
5.50E-02,6.29E+19,5.17E+19,3508.3634,3676.9416,24248.413,0.025,2.5032969,1.3314193,326713.62,-0.9045715,1.12E+19,-2.7615831
