rhor,xnuati,xnuioni
8.56E-01,0,9.78E-01
8.62E-01,0,1.19E+00
8.68E-01,0,1.46E+00
8.74E-01,0,1.78E+00
8.80E-01,0,2.17E+00
8.86E-01,0,2.65E+00
8.92E-01,0,3.25E+00
8.98E-01,0,3.98E+00
9.04E-01,0,4.90E+00
9.10E-01,0,6.03E+00
9.16E-01,0,7.45E+00
9.22E-01,0,9.22E+00
9.28E-01,0,1.14E+01
9.34E-01,0,1.43E+01
9.40E-01,0,1.78E+01
9.46E-01,0,2.25E+01
9.52E-01,0,2.85E+01
9.58E-01,0,3.65E+01
9.64E-01,0,4.73E+01
9.70E-01,0,6.26E+01
9.76E-01,0,8.47E+01
9.82E-01,0,1.13E+02
9.88E-01,0,1.21E+02
9.94E-01,0,1.26E+02
1,0,1.37E+02
