rhor,xnuati,xnuioni,qnb
8.56E-01,6.17E-07,8.72E-01,92264.95
8.62E-01,1.02E-06,1.213909,90926.93
8.68E-01,2.82E-06,1.628785,89581.4
8.74E-01,7.75E-06,2.141818,88258.95
8.80E-01,2.14E-05,2.784791,86971.34
8.86E-01,5.89E-05,3.598541,85678.88
8.92E-01,1.62E-04,4.635525,84352.84
8.98E-01,4.48E-04,5.963266,82978.34
9.04E-01,1.24E-03,7.669106,81548.15
9.10E-01,3.41E-03,9.865287,80097.13
9.16E-01,9.40E-03,12.70089,78529.12
9.22E-01,2.59E-02,16.36917,76777.2
9.28E-01,7.12E-02,21.12472,74827.48
9.34E-01,1.95E-01,27.30131,72582.45
9.40E-01,5.30E-01,35.34273,69880.2
9.46E-01,1.423723,45.84605,66509.34
9.52E-01,3.750929,59.63043,62227.15
9.58E-01,9.580083,77.83095,56792.77
9.64E-01,23.35654,102.0374,49917.54
9.70E-01,53.37135,134.4379,41866.07
9.76E-01,112.2903,177.8276,33456.17
9.82E-01,214.8279,235.2753,25585.72
9.88E-01,372.7175,309.262,19048.98
9.94E-01,592.0058,400.4558,14151.42
1,357.7222,1118.684,5261.491
