rhor,er,er_sc,ne,ne_sc,ni,ni_sc,te,te_sc,ti,ti_sc
0.856,37.75682,0.105,0.6252,0.98387,0.14463,0.24571,0.79937,0.10244,1.02924,0.11012
0.857,37.62378,0.10596,0.62496,0.98566,0.14441,0.24852,0.79646,0.10181,1.02576,0.10946
0.858,37.49234,0.10636,0.62473,0.98722,0.1442,0.25138,0.79355,0.10115,1.02226,0.10877
0.859,37.36181,0.10627,0.62449,0.98914,0.14399,0.25449,0.79063,0.10055,1.01877,0.10814
0.86,37.23149,0.10569,0.62426,0.99164,0.14378,0.25788,0.78771,0.10001,1.01527,0.10759
0.861,37.1007,0.10419,0.62403,0.99341,0.14358,0.26118,0.78479,0.09939,1.01178,0.10694
0.862,36.96807,0.09944,0.6238,0.99485,0.14337,0.26457,0.78187,0.09873,1.00828,0.10626
0.863,36.82629,0.09258,0.62356,0.99672,0.14318,0.2682,0.77895,0.09814,1.00477,0.10565
0.864,36.67493,0.08721,0.62333,0.9986,0.14298,0.27208,0.77602,0.09757,1.00127,0.10508
0.865,36.51681,0.08377,0.62311,0.99997,0.14279,0.27596,0.77309,0.09695,0.99776,0.10444
0.866,36.35473,0.08192,0.62288,1.00121,0.1426,0.27995,0.77016,0.0963,0.99425,0.10377
0.867,36.19157,0.08161,0.62265,1.00297,0.14241,0.28438,0.76723,0.09574,0.99074,0.1032
0.868,36.03013,0.08256,0.62242,1.00424,0.14223,0.28888,0.7643,0.09515,0.98722,0.10261
0.869,35.87264,0.08182,0.6222,1.00503,0.14206,0.29344,0.76136,0.0945,0.98371,0.10195
0.87,35.71047,0.07729,0.62197,1.00617,0.14188,0.2984,0.75842,0.09391,0.98019,0.10136
0.871,35.53635,0.07251,0.62175,1.00711,0.14171,0.30362,0.75548,0.09332,0.97667,0.10076
0.872,35.35434,0.06981,0.62152,1.0078,0.14154,0.30907,0.75254,0.09274,0.97314,0.10018
0.873,35.16895,0.06892,0.6213,1.00847,0.14138,0.31475,0.7496,0.09215,0.96962,0.09959
0.874,34.98473,0.06965,0.62108,1.00873,0.14122,0.32074,0.74665,0.09157,0.96609,0.09902
0.875,34.8057,0.06937,0.62085,1.00873,0.14106,0.327,0.7437,0.09096,0.96256,0.09841
0.876,34.62262,0.06488,0.62063,1.00824,0.1409,0.33362,0.74075,0.09037,0.95903,0.09782
0.877,34.42125,0.06116,0.62041,1.00792,0.14075,0.3407,0.73779,0.08979,0.9555,0.09726
0.878,34.21779,0.0607,0.62019,1.00653,0.14061,0.34786,0.73484,0.08915,0.95197,0.09662
0.879,34.01666,0.06078,0.61997,1.00474,0.14046,0.35548,0.73188,0.08854,0.94843,0.09602
0.88,33.81695,0.06019,0.61975,1.00404,0.14032,0.36409,0.72892,0.08802,0.94489,0.09552
0.881,33.61468,0.05787,0.61953,1.00146,0.14019,0.37268,0.72595,0.0874,0.94135,0.09492
0.882,33.40227,0.05467,0.61931,0.99853,0.14006,0.38184,0.72299,0.0868,0.93781,0.09433
0.883,33.17928,0.05252,0.61908,0.99605,0.13993,0.39194,0.72002,0.08625,0.93427,0.09381
0.884,32.95264,0.05202,0.61886,0.99165,0.1398,0.40223,0.71705,0.08561,0.93072,0.09319
0.885,32.72945,0.05244,0.61864,0.98744,0.13968,0.41339,0.71407,0.08503,0.92718,0.09263
0.886,32.51025,0.05045,0.61842,0.98253,0.13956,0.42541,0.71109,0.08445,0.92363,0.09208
