rhor,gammahat,bthet,xni,xnuc12,rminor,rmajor,exlti,xlnmin,torvhat,vthexp,vpold,vtord
8.508706E-01,6.257891E+19,2.380253E-01,9.304348E+18,372.133100,8.046698E-01,1.663000,9.333605E-01,0.000000E+00,56721.060000,-1690.000000,-523.000000,74100.000000
8.570843E-01,6.598085E+19,2.380253E-01,2.304348E+17,376.839900,8.046698E-01,1.663000,9.192185E-01,0.000000E+00,56116.040000,-1710.000000,-608.000000,74300.000000
8.632981E-01,6.786586E+19,2.380253E-01,0.000000E+00,377.414100,8.046698E-01,1.663000,9.050767E-01,0.000000E+00,55381.370000,-1730.000000,-693.000000,74500.000000
8.695118E-01,6.988115E+19,2.380253E-01,0.000000E+00,380.777400,8.046698E-01,1.663000,8.909349E-01,0.000000E+00,54809.620000,-1750.000000,-773.000000,74700.000000
8.757255E-01,7.203691E+19,2.380253E-01,0.000000E+00,382.152000,8.046698E-01,1.663000,8.767931E-01,0.000000E+00,54106.220000,-1770.000000,-907.000000,75200.000000
8.819392E-01,7.435045E+19,2.380253E-01,80.000000,383.095100,8.046698E-01,1.663000,8.626513E-01,0.000000E+00,53252.020000,-1780.000000,-1040.000000,75700.000000
8.881530E-01,7.683628E+19,2.380253E-01,1.050974E-40,385.117000,8.046698E-01,1.663000,8.485095E-01,0.000000E+00,52536.980000,-1800.000000,-1150.000000,76200.000000
8.943667E-01,7.955209E+19,2.380253E-01,0.000000E+00,386.895300,8.046698E-01,1.663000,8.343676E-01,0.000000E+00,51672.790000,-1820.000000,-1320.000000,76900.000000
9.005804E-01,8.317213E+19,2.380253E-01,0.000000E+00,387.834400,8.046698E-01,1.663000,8.202258E-01,0.000000E+00,50731.760000,-1840.000000,-1500.000000,77700.000000
9.067941E-01,8.759625E+19,2.380253E-01,2.380253E-01,387.838300,8.046698E-01,1.663000,8.060840E-01,0.000000E+00,49693.340000,-1860.000000,-1650.000000,78400.000000
9.130079E-01,7.381391E+19,2.380253E-01,-2.010000,389.607600,8.046698E-01,1.663000,7.919422E-01,0.000000E+00,48598.340000,-1880.000000,-1840.000000,79200.000000
9.192216E-01,8.990047E+19,2.380253E-01,1.000000,390.058900,8.046698E-01,1.663000,7.778003E-01,0.000000E+00,47203.300000,-1900.000000,-2090.000000,80300.000000
9.254353E-01,9.344480E+19,2.380253E-01,4.566638,390.386600,8.046698E-01,1.663000,7.636585E-01,0.000000E+00,45789.470000,-1910.000000,-2290.000000,81100.000000
9.316490E-01,9.689091E+19,2.380253E-01,489.000000,391.681200,8.046698E-01,1.663000,7.495167E-01,0.000000E+00,44225.830000,-1930.000000,-2530.000000,82200.000000
9.378628E-01,1.002949E+20,2.380253E-01,489.000000,392.007500,8.046698E-01,1.663000,7.353748E-01,0.000000E+00,42282.050000,-1950.000000,-2830.000000,83400.000000
9.440765E-01,1.035352E+20,2.380253E-01,3.174656E-02,392.226100,8.046698E-01,1.663000,7.212330E-01,0.000000E+00,40308.780000,-1970.000000,-3100.000000,84400.000000
9.502902E-01,1.064949E+20,2.380253E-01,1.188125,391.960500,8.046698E-01,1.663000,7.070912E-01,0.000000E+00,38424.670000,-1990.000000,-3430.000000,85600.000000
9.565039E-01,1.088073E+20,2.380253E-01,1.216546E-02,393.068500,8.046698E-01,1.663000,6.929494E-01,0.000000E+00,37088.100000,-2010.000000,-3700.000000,86700.000000
9.627177E-01,1.101405E+20,2.380253E-01,1.698688,392.653700,8.046698E-01,1.663000,6.788076E-01,0.000000E+00,35818.010000,-2030.000000,-4100.000000,88000.000000
9.689314E-01,1.103064E+20,2.380253E-01,226198.100000,392.129100,8.046698E-01,1.663000,6.646658E-01,0.000000E+00,35672.460000,-2050.000000,-4500.000000,89400.000000
9.751451E-01,1.097128E+20,2.380253E-01,91651.950000,390.986900,8.046698E-01,1.663000,6.505239E-01,0.000000E+00,36701.520000,-2060.000000,-4840.000000,90500.000000
9.813588E-01,1.095245E+20,2.380253E-01,0.000000E+00,390.221700,8.046698E-01,1.663000,6.363821E-01,0.000000E+00,37147.170000,-2080.000000,-5300.000000,91900.000000
9.875726E-01,1.110790E+20,2.380253E-01,0.000000E+00,389.316200,8.046698E-01,1.663000,6.222402E-01,0.000000E+00,36260.870000,-2100.000000,-5840.000000,93400.000000
9.937863E-01,1.155425E+20,2.380253E-01,0.000000E+00,388.367100,8.046698E-01,1.663000,6.080984E-01,0.000000E+00,34796.610000,-2110.000000,-6280.000000,94600.000000
1.000000,0.000000E+00,2.380253E-01,0.000000E+00,387.172200,8.046698E-01,1.663000,5.939566E-01,0.000000E+00,32600.000000,-2130.000000,-6810.000000,96000.000000
