rhor,gammahat,xni,xnuc12,rminor,xnuc21,exlti,torvhat,torv,vpold,vtord,xmomtor1,xnuati,nudrag,vtordhat,xnC,yy1,yy2,y11,y22,xne,xte,zbar2,qhatheati,forbl,eorbl,xti,bthet,gamion,xmomtor2,gamC,gamheati,gamheate,exlte,vpinch4,xlne,Snbi,xnuioni,dlnn_dt,dlnwi_dt,fionb,qnb
8.56E-01,1.38E+19,2.98E+19,321.7916,7.66E-01,12832.78,2.31E-01,999.9921,1000,3.00E+30,5862.288,7.15E-02,6.63E-05,3.00E+30,3.00E+30,7.46E+17,3682.493,7.88E-03,6.36E-01,-2.40E-01,3.43E+19,1350,5.984907,77282.13,4.70E-03,1.45E-02,1780,1.69E-01,5.01E+19,1.79E-03,0.00E+00,77282.13,42764.05,5.35E-01,-2.478348,2.956652,2.13E+18,2.568022,0.00E+00,0.00E+00,4.88E-01,149373.2
8.62E-01,1.41E+19,2.98E+19,332.3005,7.71E-01,13251.79,2.25E-01,999.9844,1000,3.00E+30,5146.309,7.07E-02,9.15E-05,3.00E+30,3.00E+30,7.46E+17,5712.657,1.56E-02,6.41E-01,3.03E-02,3.43E+19,1350,5.984756,75599.3,7.91E-03,2.23E-02,1740,1.68E-01,5.03E+19,1.77E-03,0.00E+00,77546.79,43194.89,5.06E-01,-3.235425,2.956652,2.13E+18,3.001128,0.00E+00,0.00E+00,4.88E-01,148086.3
8.68E-01,1.46E+19,2.98E+19,337.7764,7.76E-01,13470.12,2.19E-01,68499.96,68500,3.00E+30,71002.7,7.00E-02,1.75E-04,3.00E+30,3.00E+30,7.46E+17,6538.518,3.81E-02,6.53E-01,3.03E-02,3.43E+19,1311,5.984491,74645.89,9.32E-03,2.54E-02,1720,1.68E-01,5.06E+19,1.75E-03,0.00E+00,77815.2,43628.06,4.54E-01,3.229951,2.956652,2.13E+18,3.520715,0.00E+00,0.00E+00,4.80E-01,146812.1
8.74E-01,1.52E+19,2.98E+19,348.6143,7.81E-01,13902.24,2.13E-01,65999.93,66000,3.00E+30,68609.27,6.60E-02,3.36E-04,3.00E+30,3.00E+30,7.46E+17,7155.382,6.88E-02,6.65E-01,3.02E-02,3.43E+19,1285,5.984272,73786.22,1.05E-02,2.80E-02,1682,1.68E-01,5.10E+19,1.65E-03,0.00E+00,78076.12,44074.7,4.09E-01,2.901506,2.956652,1.53E+18,4.10482,0.00E+00,0.00E+00,4.75E-01,145340.6
8.80E-01,1.59E+19,2.97E+19,360.2772,7.86E-01,14367.25,2.07E-01,61999.88,62000,3.00E+30,64761.45,6.51E-02,6.45E-04,3.00E+30,3.00E+30,7.43E+17,7783.97,1.22E-01,6.83E-01,3.01E-02,3.42E+19,1260,5.98406,72904.87,1.18E-02,3.08E-02,1640,1.68E-01,5.15E+19,1.63E-03,0.00E+00,78336.55,44526.88,3.73E-01,2.536938,2.956652,1.53E+18,4.772588,0.00E+00,0.00E+00,4.69E-01,143678.7
8.86E-01,1.67E+19,2.97E+19,369.3999,7.91E-01,14730.97,2.01E-01,58499.77,58500,3.00E+30,61475.79,6.43E-02,1.24E-03,3.00E+30,3.00E+30,7.41E+17,8592.185,2.34E-01,7.03E-01,3.00E-02,3.41E+19,1238,5.983516,71929.13,1.35E-02,3.44E-02,1608,1.68E-01,5.21E+19,1.61E-03,0.00E+00,78596.2,44983.94,3.21E-01,2.223394,2.956652,1.53E+18,5.532689,0.00E+00,0.00E+00,4.65E-01,142037.4
8.92E-01,1.76E+19,2.96E+19,379.3014,7.96E-01,15125.75,1.95E-01,54499.56,54500,3.00E+30,57731.06,6.34E-02,2.38E-03,3.00E+30,3.00E+30,7.39E+17,9458.671,4.37E-01,7.27E-01,2.99E-02,3.40E+19,1223,5.977431,70931.94,1.53E-02,3.82E-02,1575,1.68E-01,5.28E+19,1.58E-03,0.00E+00,78856.33,45444.14,2.88E-01,1.527365,2.956652,1.53E+18,6.391877,0.00E+00,0.00E+00,4.61E-01,140367
8.98E-01,1.87E+19,2.95E+19,395.8577,8.01E-01,15785.85,1.89E-01,50499.28,50500,3.00E+30,53992.75,7.44E-02,4.56E-03,3.00E+30,3.00E+30,7.37E+17,10162.5,7.23E-01,7.67E-01,3.00E-02,3.39E+19,1200,5.971211,69985.01,1.71E-02,4.18E-02,1525,1.69E-01,5.38E+19,1.86E-03,0.00E+00,79120.38,45896.93,2.59E-01,7.84E-01,2.956652,2.32E+18,7.388737,0.00E+00,0.00E+00,4.56E-01,138720.2
9.04E-01,1.99E+19,2.94E+19,405.1946,8.06E-01,16158.1,1.83E-01,46198.59,46200,3.00E+30,50080.91,7.34E-02,8.78E-03,3.00E+30,3.00E+30,7.35E+17,11288.27,1.404586,7.99E-01,2.99E-02,3.38E+19,1171,5.96493,68815.73,1.97E-02,4.71E-02,1497,1.69E-01,5.49E+19,1.84E-03,0.00E+00,79383.41,46346.2,2.07E-01,-6.03E-02,2.956652,2.32E+18,8.545066,0.00E+00,0.00E+00,4.50E-01,137097.2
9.10E-01,2.14E+19,2.93E+19,416.5536,8.11E-01,16610.98,1.77E-01,42197.37,42200,3.00E+30,46508.97,7.24E-02,1.69E-02,3.00E+30,3.00E+30,7.33E+17,12467.86,2.634732,8.37E-01,2.97E-02,3.37E+19,1151,5.958528,67568.79,2.27E-02,5.31E-02,1465,1.69E-01,5.62E+19,1.81E-03,0.00E+00,79642.08,46794.17,1.80E-01,-8.66E-01,2.956652,2.32E+18,9.851615,0.00E+00,0.00E+00,4.45E-01,135497.1
