rhor,gammahat,xni,xnuc12,xnuc21,rminor,exlti,torvhat,vthexp,vpold,vtord,xmomtor1,xnuati,nudrag,vtordhat,xnC,yy1,yy2,y11,y22,exne,xte,zbar2,qhatheati,forbl,eorbl,xti,xnion,bthet,gamion,xmomtor2,gamC,torv
,,,,,,,,,,,,,,,,,,,,,,,,,,,4.84E+19,1.53E-01,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,4.84E+19,1.53E-01,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,4.83E+19,1.53E-01,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,4.83E+19,1.53E-01,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,4.82E+19,1.53E-01,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,4.82E+19,1.53E-01,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,4.81E+19,1.53E-01,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,4.79E+19,1.53E-01,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,4.78E+19,1.53E-01,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,4.76E+19,1.53E-01,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,4.73E+19,1.53E-01,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,4.70E+19,1.53E-01,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,4.65E+19,1.53E-01,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,4.59E+19,1.53E-01,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,4.50E+19,1.53E-01,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,4.37E+19,1.53E-01,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,4.19E+19,1.53E-01,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,3.93E+19,1.53E-01,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,3.58E+19,1.53E-01,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,3.14E+19,1.53E-01,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,2.64E+19,1.53E-01,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,2.12E+19,1.53E-01,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,1.63E+19,1.53E-01,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,1.24E+19,1.53E-01,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,9.36E+18,1.53E-01,,,,
