rhor,gammahat,xnuc12,rminor,exlti,xnuati,xmomtor1,torvhat,vpold,vtord,ltorvhat,exne,xte,zbar2,exlti,qhatheati,forbl,eorbl,xti,xni,y11,y22,xnion,xnC,xnuc21,yy2,yy1,vtordhat
8.51E-01,6.57E+19,372.1331,6.85E-01,9.33E-01,2.051559,-2.17E-03,56721.06,-523,74100,0.00E+00,1.07E+19,343.06,5.543616,9.33E-01,88248.36,1.66E-03,6.24E-03,721,9.30E+18,2.55892,8.20E-03,9.40E+18,2.33E+17,14838.27,378.9391,928.2075,73171.7925
8.57E-01,6.89E+19,376.8399,6.90E-01,9.19E-01,2.342222,-2.12E-03,56116.04,-608,74300,-5.76E-01,1.06E+19,329.3,5.474017,9.19E-01,87903.36,2.20E-03,7.89E-03,710,9.22E+18,2.68166,8.02E-03,9.32E+18,2.30E+17,15025.9,483.9583,1185.451,73114.549
8.63E-01,7.07E+19,377.4141,6.95E-01,9.05E-01,3.050623,-2.07E-03,55381.37,-693,74500,-4.68E-01,1.04E+19,315.55,5.404433,9.05E-01,87716.36,2.92E-03,9.97E-03,700,9.04E+18,2.749552,7.77E-03,9.16E+18,2.26E+17,15048.76,618.6308,1515.33,72984.67
8.70E-01,7.27E+19,380.7774,7.00E-01,8.91E-01,3.965693,-2.03E-03,54809.62,-773,74700,-5.96E-01,1.03E+19,304.09,5.332615,8.91E-01,87526.36,3.88E-03,1.26E-02,691,8.96E+18,2.823164,7.59E-03,9.09E+18,2.24E+17,15182.82,790.3783,1936.023,72763.977
8.76E-01,7.48E+19,382.152,7.05E-01,8.77E-01,5.143265,-1.97E-03,54106.22,-907,75200,-4.78E-01,1.01E+19,290.33,5.252325,8.77E-01,87335.36,5.08E-03,1.57E-02,680,8.78E+18,2.90177,7.33E-03,8.93E+18,2.20E+17,15237.59,993.7791,2434.251,72765.749
8.82E-01,7.70E+19,383.0951,7.10E-01,8.63E-01,6.651139,-1.92E-03,53252.02,-1040,75700,-3.87E-01,9.91E+18,276.58,5.173878,8.63E-01,87157.36,6.66E-03,1.94E-02,670,8.62E+18,2.986611,7.09E-03,8.77E+18,2.15E+17,15275.16,1247.979,3056.912,72643.088
8.88E-01,7.95E+19,385.117,7.15E-01,8.49E-01,8.584051,-1.87E-03,52536.98,-1150,76200,-4.57E-01,9.77E+18,265.12,5.094133,8.49E-01,87031.36,8.72E-03,2.41E-02,661,8.50E+18,3.078467,6.88E-03,8.67E+18,2.12E+17,15355.74,1563.019,3828.598,72371.402
8.94E-01,8.21E+19,386.8953,7.20E-01,8.34E-01,11.05213,-1.81E-03,51672.79,-1320,76900,-3.72E-01,9.58E+18,252.18,5.008055,8.34E-01,87099.36,1.13E-02,2.95E-02,650,8.33E+18,3.178973,6.63E-03,8.51E+18,2.08E+17,15426.6,1927.216,4720.696,72179.304
9.01E-01,8.57E+19,387.8344,7.25E-01,8.20E-01,14.19495,-1.76E-03,50731.76,-1500,77700,-3.35E-01,9.39E+18,239.64,4.924652,8.20E-01,89778.36,1.46E-02,3.59E-02,640,8.17E+18,3.314084,6.39E-03,8.36E+18,2.04E+17,15464.01,2368.237,5800.972,71899.028
9.07E-01,9.01E+19,387.8383,7.30E-01,8.06E-01,18.19777,-1.71E-03,49693.34,-1650,78400,-2.97E-01,9.22E+18,229.19,4.839829,8.06E-01,65165.36,1.88E-02,4.38E-02,632,8.02E+18,3.480121,6.17E-03,8.22E+18,2.00E+17,15464.13,2906.659,7119.832,71280.168
9.13E-01,7.62E+19,389.6076,7.35E-01,7.92E-01,23.26998,-1.66E-03,48598.34,-1840,79200,-2.76E-01,9.03E+18,216.66,4.747408,7.92E-01,84100.36,2.40E-02,5.29E-02,621,7.85E+18,2.952128,5.92E-03,8.07E+18,1.96E+17,15534.63,3501.659,8577.277,70622.723
9.19E-01,9.23E+19,390.0589,7.40E-01,7.78E-01,29.69342,-1.61E-03,47203.3,-2090,80300,-2.10E-01,8.83E+18,204.12,4.659099,7.78E-01,84132.36,3.05E-02,6.38E-02,611,7.68E+18,3.56305,5.68E-03,7.91E+18,1.92E+17,15552.58,4196.701,10279.78,70020.22
9.25E-01,9.58E+19,390.3866,7.45E-01,7.64E-01,37.8427,-1.56E-03,45789.47,-2290,81100,-2.01E-01,8.67E+18,193.68,4.57076,7.64E-01,83870.36,3.89E-02,7.73E-02,603,7.54E+18,3.696141,5.47E-03,7.78E+18,1.88E+17,15565.62,5010.53,12273.24,68826.76
9.32E-01,9.92E+19,391.6812,7.50E-01,7.50E-01,48.13706,-1.51E-03,44225.83,-2530,82200,-1.76E-01,8.47E+18,181.14,4.477186,7.50E-01,83495.36,4.93E-02,9.36E-02,592,7.37E+18,3.825458,5.24E-03,7.62E+18,1.84E+17,15617.19,5874.17,14388.72,67811.28
9.38E-01,1.03E+20,392.0075,7.55E-01,7.35E-01,61.14333,-1.47E-03,42282.05,-2830,83400,-1.35E-01,8.27E+18,169.04,4.39252,7.35E-01,83063.36,6.28E-02,1.15E-01,582,7.19E+18,3.953412,5.02E-03,7.45E+18,1.80E+17,15630.16,6817.953,16700.51,66699.49
9.44E-01,1.06E+20,392.2261,7.60E-01,7.21E-01,77.64062,-1.42E-03,40308.78,-3100,84400,-1.27E-01,8.11E+18,159.13,4.311332,7.21E-01,82613.36,8.11E-02,1.43E-01,574,7.05E+18,4.07569,4.83E-03,7.32E+18,1.76E+17,15638.84,7791.221,19084.52,65315.48
9.50E-01,1.09E+20,391.9605,7.65E-01,7.07E-01,98.51081,-1.38E-03,38424.67,-3430,85600,-1.27E-01,7.90E+18,147.25,4.233939,7.07E-01,82168.36,1.06E-01,1.82E-01,564,6.87E+18,4.187409,4.62E-03,7.14E+18,1.72E+17,15628.21,8575.332,21005.19,64594.81
9.57E-01,1.11E+20,393.0685,7.70E-01,6.93E-01,125.0406,-1.33E-03,37088.1,-3700,86700,-1.72E-01,7.74E+18,137.34,4.16374,6.93E-01,81771.36,1.41E-01,2.35E-01,555,6.73E+18,4.275349,4.45E-03,7.01E+18,1.68E+17,15672.35,8911.903,21829.62,64870.38
9.63E-01,1.13E+20,392.6537,7.75E-01,6.79E-01,158.8101,-1.29E-03,35818.01,-4100,88000,-1.75E-01,7.53E+18,126.1,4.097067,6.79E-01,81406.36,1.91E-01,3.02E-01,545,6.55E+18,4.326443,4.26E-03,6.83E+18,1.64E+17,15655.76,8381.987,20531.59,67468.41
9.69E-01,1.13E+20,392.1291,7.80E-01,6.65E-01,201.8991,-1.25E-03,35672.46,-4500,89400,-1.522938042,7.32E+18,114.87,4.042964,6.65E-01,80968.36,2.58E-01,3.77E-01,535,6.37E+18,4.333803,4.09E-03,6.65E+18,1.59E+17,15634.81,6727.534,16479.03,72920.97
9.75E-01,1.12E+20,390.9869,7.85E-01,6.51E-01,257.5697,-1.20E-03,36701.52,-4840,90500,2.22E-01,7.14E+18,105.5,3.997804,6.51E-01,80236.36,3.41E-01,4.43E-01,527,6.21E+18,4.312757,3.94E-03,6.49E+18,1.55E+17,15589.23,4198.477,10284.13,80215.87
9.81E-01,1.12E+20,390.2217,7.90E-01,6.36E-01,330.032,-1.16E-03,37147.17,-5300,91900,5.18E-01,6.93E+18,94.26,3.958833,6.36E-01,78919.36,4.21E-01,4.84E-01,517,6.03E+18,4.306593,3.79E-03,6.31E+18,1.51E+17,15558.68,1752.826,4293.53,87606.47
9.88E-01,1.14E+20,389.3162,7.95E-01,6.22E-01,424.7578,-1.12E-03,36260.87,-5840,93400,-2.54E-01,6.72E+18,83.03,3.917088,6.22E-01,76852.36,4.79E-01,4.98E-01,507,5.84E+18,4.365771,3.63E-03,6.12E+18,1.46E+17,15522.54,339.1331,830.7031,92569.2969
9.94E-01,1.18E+20,388.3671,8.00E-01,6.08E-01,550.4911,-1.09E-03,34796.61,-6280,94600,-1.48E-01,6.55E+18,73.66,3.873922,6.08E-01,73702.36,5.00E-01,5.00E-01,499,5.70E+18,4.534645,3.50E-03,5.97E+18,1.42E+17,15484.66,3.385263,8.292167,94591.70783
1,0.00E+00,387.1722,8.05E-01,5.94E-01,314.0531,3.92E-03,32600,-6810,96000,-9.22E-02,6.34E+18,62.42,3.731882,5.94E-01,0.00E+00,5.00E-01,0.00E+00,489,5.51E+18,3.92E-02,3.39E-03,5.80E+18,1.38E+17,15436.98,0.00E+00,0.00E+00,96000
