rhor,gammahat,xni,xnuc12,xnuc21,rminor,exlti,torvhat,vthexp,vpold,vtord,xmomtor1,xnuati,nudrag,vtordhat,xnC,yy1,yy2,y11,y22,exne,xte,zbar2,qhatheati,forbl,eorbl,xti,xnion,bthet,gamion,xmomtor2,gamC
0.856,6.03E+19,5.13E+19,1.16E+03,4.61E+04,7.14E-01,4.33E-01,3.25E+04,-3.090737583,-1.42E+04,3.61E+04,-5.65E-05,1.37E-08,1.00E+50,3.34E+04,1.28E+18,2745.034,1120.655,1.802748,4.91E-02,5.90E+19,860.4981,5.977785,4.47E+04,4.56E-03,1.44E-02,1044.109,5.14E+19,1.53E-01,6.02E+19,-1.41E-06,5.14E+19
0.862,6.06E+19,5.14E+19,1.19E+03,4.73E+04,7.19E-01,4.11E-01,3.14E+04,-2.823026325,-1.44E+04,3.58E+04,-5.60E-05,2.35E-08,1.00E+50,3.26E+04,1.29E+18,3160.245,1290.164,1.796178,4.92E-02,5.91E+19,832.8427,5.977079,4.48E+04,5.41E-03,1.65E-02,1026.594,5.14E+19,1.51E-01,5.99E+19,-1.40E-06,5.14E+19
0.868,6.09E+19,5.17E+19,1.22E+03,4.87E+04,7.24E-01,3.89E-01,3.03E+04,-2.700242572,-1.43E+04,3.53E+04,-5.57E-05,6.97E-08,1.00E+50,3.17E+04,1.29E+18,3621.725,1478.563,1.805959,4.94E-02,5.94E+19,808.7518,5.976408,4.48E+04,6.39E-03,1.88E-02,1008.669,5.17E+19,1.51E-01,5.97E+19,-1.39E-06,5.17E+19
0.874,6.12E+19,5.20E+19,1.26E+03,5.04E+04,7.29E-01,3.68E-01,2.91E+04,-2.560150583,-1.40E+04,3.47E+04,-5.55E-05,3.19E-07,1.00E+50,3.06E+04,1.30E+18,4131.867,1686.828,1.817542,4.97E-02,5.98E+19,787.6603,5.975772,4.48E+04,7.53E-03,2.15E-02,990.2509,5.21E+19,1.51E-01,5.95E+19,-1.39E-06,5.21E+19
0.88,6.16E+19,5.25E+19,1.31E+03,5.22E+04,7.34E-01,3.48E-01,2.80E+04,-2.415405039,-1.36E+04,3.41E+04,-5.53E-05,9.73E-07,1.00E+50,2.94E+04,1.31E+18,4692.8,1915.828,1.831146,5.02E-02,6.03E+19,769.0032,5.975165,4.48E+04,8.84E-03,2.44E-02,971.2557,5.25E+19,1.52E-01,5.93E+19,-1.38E-06,5.25E+19
0.886,6.21E+19,5.29E+19,1.36E+03,5.41E+04,7.39E-01,3.28E-01,2.68E+04,-2.341734787,-1.31E+04,3.34E+04,-5.51E-05,3.00E-06,1.00E+50,2.81E+04,1.32E+18,5306.309,2166.292,1.847071,5.06E-02,6.09E+19,752.2155,5.974575,4.49E+04,1.03E-02,2.76E-02,951.6009,5.30E+19,1.52E-01,5.93E+19,-1.38E-06,5.30E+19
0.892,6.27E+19,5.34E+19,1.41E+03,5.63E+04,7.44E-01,3.09E-01,2.57E+04,-2.315716219,-1.24E+04,3.26E+04,-5.49E-05,9.35E-06,1.00E+50,2.67E+04,1.33E+18,5973.767,2438.78,1.865945,5.10E-02,6.14E+19,736.7318,5.973987,4.50E+04,1.20E-02,3.11E-02,931.2031,5.34E+19,1.52E-01,5.93E+19,-1.37E-06,5.34E+19
0.898,6.35E+19,5.37E+19,1.47E+03,5.85E+04,7.49E-01,2.91E-01,2.45E+04,-2.372376429,-1.16E+04,3.18E+04,-5.46E-05,2.95E-05,1.00E+50,2.51E+04,1.34E+18,6696.134,2733.686,1.889199,5.14E-02,6.18E+19,721.9872,5.973382,4.56E+04,1.40E-02,3.51E-02,909.9791,5.38E+19,1.52E-01,5.95E+19,-1.36E-06,5.38E+19
0.904,6.50E+19,5.40E+19,1.53E+03,6.09E+04,7.54E-01,2.73E-01,2.34E+04,-2.544178286,-1.06E+04,3.10E+04,-5.41E-05,9.37E-05,1.00E+50,2.36E+04,1.35E+18,7473.866,3051.193,1.92768,5.16E-02,6.21E+19,707.4167,5.972735,5.07E+04,1.62E-02,3.94E-02,887.8458,5.41E+19,1.52E-01,5.98E+19,-1.35E-06,5.41E+19
0.91,6.70E+19,5.41E+19,1.59E+03,6.33E+04,7.59E-01,2.56E-01,2.22E+04,-2.758444286,-9.65E+03,3.03E+04,-5.35E-05,3.00E-04,1.00E+50,2.19E+04,1.35E+18,8307.447,3391.501,1.97887,5.17E-02,6.23E+19,692.4551,5.972014,4.32E+04,1.88E-02,4.43E-02,864.7199,5.42E+19,1.52E-01,6.03E+19,-1.34E-06,5.42E+19
