rhor,gammahat,xni,xnuc12,rminor,exlti,torvhat,vthexp,vpold,vtord,xmtor1,xnuati,nudrag,vtordhat,y11,y22,xnuc21,xnC,omegaTorD,omegaTorC,vpolC,ne,te,ti,er,qedge,,vpolD
0.856,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,-3.090737583,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,50.50875263,47.09150752,-3.090737583,5.904062436,0.86049812,1.044109388,34.46387387,3.080537901,14273.19,14273.19
0.862,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,-2.823026325,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,49.68300414,45.42050108,-2.823026325,5.913470587,0.832842698,1.026594464,33.93774082,3.133282087,13963.32,13963.32
0.868,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,-2.700242572,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,48.70569228,43.79460938,-2.700242572,5.941552043,0.808751806,1.008669344,33.15524378,3.187807085,13585.09,13585.09
0.874,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,-2.560150583,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,47.60294559,42.2137731,-2.560150583,5.983128961,0.787660355,0.990250836,32.1367509,3.244145692,13146.35,13146.35
0.88,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,-2.415405039,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,46.40089257,40.67793292,-2.415405039,6.033023497,0.769003261,0.971255748,30.90263032,3.302330705,12653.8,12653.8
0.886,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,-2.341734787,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,45.12566173,39.18702952,-2.341734787,6.086057809,0.752215436,0.951600889,29.47325018,3.362394922,12113.48,12113.48
0.892,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,-2.315716219,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,43.8033816,37.74100357,-2.315716219,6.137054053,0.736731797,0.931203069,27.86897862,3.424371137,11531.31,11531.31
0.898,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,-2.372376429,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,42.46018069,36.33979576,-2.372376429,6.180834386,0.721987255,0.909979094,26.11018377,3.488292149,10913.42,10913.42
0.904,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,-2.544178286,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,41.12218751,34.98334675,-2.544178286,6.212220965,0.707416726,0.887845773,24.21723379,3.554190755,10266.49,10266.49
0.91,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,-2.758444286,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,39.81553058,33.67159724,-2.758444286,6.226035945,0.692455123,0.864719916,22.21049679,3.62209975,9598.003,9598.003
0.916,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,-2.684414667,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,38.56633842,32.40448789,-2.684414667,6.217101484,0.676537361,0.840518331,20.11034094,3.692051932,8916.398,8916.398
0.922,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,-2.663214952,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,37.40073953,31.18195938,-2.663214952,6.180239739,0.659098352,0.815157826,17.93713436,3.764080097,8231.329,8231.329
0.928,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,-2.737244571,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,36.34486244,30.0039524,-2.737244571,6.110272866,0.639573012,0.788555209,15.7112452,3.838217042,7553.91,7553.91
0.934,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,-2.828232254,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,35.42483566,28.87040761,-2.828232254,6.002023023,0.617396255,0.76062729,13.45304159,3.914495565,6897.098,6897.098
0.94,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,-2.926938413,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,34.66678771,27.78126571,-2.926938413,5.850312364,0.592002994,0.731290877,11.18289167,3.992948461,6276.288,6276.288
0.946,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,-3.025644571,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,1.00E+50,34.0968471,26.73646736,-3.025644571,5.649963048,0.562828143,0.700462778,8.921163596,4.073608528,5710.326,5710.326
