rhor,gammahat,xni,xnuc12,xnuc21,rminor,exlti,torvhat,vthexp,vpold,vtord,xmomtor1,xnuati,nudrag,vtordhat,xnC,yy1,yy2,y11,y22,exne,xte,zbar2,qhatheati,forbl,eorbl,xti,xnion,bthet,gamion,xmomtor2,gamC,torv
0.856,6.13E+19,5.13E+19,1.16E+03,4.61E+04,8.34E-01,4.33E-01,3.37E+04,-3090.738,-1.42E+04,3.61E+04,8.25E-02,2.32E-08,0.00E+00,3.43E+04,1.28E+18,1777.14,1.89E-04,2.813504,5.02E-02,5.90E+19,860.4981,5.977785,5.01E+04,2.79E-03,9.50E-03,1044.109,5.13E+19,1.53E-01,6.13E+19,2.06E-03,0.00E+00,33661.06
0.862,6.08E+19,5.14E+19,1.19E+03,4.73E+04,8.34E-01,4.11E-01,3.27E+04,-2823.026,-1.44E+04,3.58E+04,8.23E-02,3.94E-08,0.00E+00,3.26E+04,1.29E+18,3158.818,1.50E-03,2.795302,5.12E-02,5.91E+19,832.8427,5.977079,4.91E+04,5.41E-03,1.65E-02,1026.594,5.14E+19,1.51E-01,6.11E+19,2.06E-03,0.00E+00,32693.72
0.868,6.06E+19,5.17E+19,1.22E+03,4.87E+04,8.34E-01,3.89E-01,3.17E+04,-2700.243,-1.43E+04,3.53E+04,8.24E-02,1.15E-07,0.00E+00,3.17E+04,1.29E+18,3619.894,4.45E-03,2.788496,5.15E-02,5.94E+19,808.7518,5.976408,4.85E+04,6.39E-03,1.88E-02,1008.669,5.17E+19,1.51E-01,6.09E+19,2.06E-03,0.00E+00,31742.38
0.874,6.04E+19,5.20E+19,1.26E+03,5.04E+04,8.34E-01,3.68E-01,3.08E+04,-2560.151,-1.40E+04,3.47E+04,8.26E-02,5.15E-07,0.00E+00,3.06E+04,1.30E+18,4130.3,8.82E-03,2.784417,5.18E-02,5.98E+19,787.6603,5.975772,4.80E+04,7.53E-03,2.14E-02,990.2509,5.20E+19,1.51E-01,6.08E+19,2.06E-03,0.00E+00,30807.65
0.88,6.03E+19,5.25E+19,1.31E+03,5.22E+04,8.34E-01,3.48E-01,2.99E+04,-2415.405,-1.36E+04,3.41E+04,8.29E-02,1.54E-06,0.00E+00,2.94E+04,1.31E+18,4691.882,2.17E-02,2.78351,5.22E-02,6.03E+19,769.0032,5.975165,4.74E+04,8.83E-03,2.44E-02,971.2557,5.25E+19,1.52E-01,6.07E+19,2.07E-03,0.00E+00,29890.19
0.886,6.03E+19,5.29E+19,1.36E+03,5.41E+04,8.34E-01,3.28E-01,2.90E+04,-2341.735,-1.31E+04,3.34E+04,8.32E-02,4.65E-06,0.00E+00,2.81E+04,1.32E+18,5306.309,4.85E-02,2.786196,5.27E-02,6.09E+19,752.2155,5.974575,4.67E+04,1.03E-02,2.76E-02,951.6009,5.29E+19,1.52E-01,6.08E+19,2.08E-03,0.00E+00,28990.6
0.892,6.04E+19,5.34E+19,1.41E+03,5.63E+04,8.34E-01,3.09E-01,2.81E+04,-2315.716,-1.24E+04,3.26E+04,8.34E-02,1.42E-05,0.00E+00,2.67E+04,1.33E+18,5973.767,1.07E-01,2.793168,5.31E-02,6.14E+19,736.7318,5.973987,4.61E+04,1.20E-02,3.11E-02,931.2031,5.34E+19,1.52E-01,6.10E+19,2.09E-03,0.00E+00,28109.54
0.898,6.07E+19,5.37E+19,1.47E+03,5.85E+04,8.34E-01,2.91E-01,2.72E+04,-2372.376,-1.16E+04,3.18E+04,8.36E-02,4.39E-05,0.00E+00,2.51E+04,1.34E+18,6696.134,2.29E-01,2.805403,5.35E-02,6.18E+19,721.9872,5.973382,4.54E+04,1.40E-02,3.51E-02,909.9791,5.37E+19,1.52E-01,6.14E+19,2.09E-03,0.00E+00,27247.62
0.904,6.11E+19,5.40E+19,1.53E+03,6.09E+04,8.34E-01,2.73E-01,2.64E+04,-2544.178,-1.06E+04,3.10E+04,8.35E-02,1.37E-04,0.00E+00,2.36E+04,1.35E+18,7473.866,4.74E-01,2.824293,5.37E-02,6.21E+19,707.4167,5.972735,4.47E+04,1.62E-02,3.94E-02,887.8458,5.40E+19,1.52E-01,6.20E+19,2.09E-03,0.00E+00,26405.46
0.91,6.18E+19,5.41E+19,1.59E+03,6.33E+04,8.34E-01,2.56E-01,2.56E+04,-2758.444,-9.65E+03,3.03E+04,8.31E-02,4.30E-04,0.00E+00,2.19E+04,1.35E+18,8307.447,9.58E-01,2.851726,5.38E-02,6.23E+19,692.4551,5.972014,4.40E+04,1.88E-02,4.43E-02,864.7199,5.41E+19,1.52E-01,6.29E+19,2.08E-03,0.00E+00,25583.71
