 Global NB Heating and Current Drive Parameters
 ----------------------------------------------
 TOTALS:
 Total Absorbed Power      =    4.5650 MW
 Total Lost Power          =     .0000 MW
 Total NB Driven Current   =   .14973E+06 A
 Total NBCD Efficiency     =   .32800E-01 A/W
 Total Beam Beta           =   .20239E-02
 Taus                      =   .18422E-02 s
 Volp                      =   .17944E+02 m3

 Information per Beamline and Energy Group:
 -----------------------------------------
                       Beam 1          Beam 2          Beam 3
                       ------          ------          ------
 Absorbed Power      .45650E+01
 Lost Power          .00000E+00
 NB driven current   .14973E+06
 NBCD efficiency     .32800E-01
 NBCD gamma          .17919E-01

 Beam Shinethrough
    energy group 1   .00000E+00
    energy group 2   .00000E+00
    energy group 3   .00000E+00

 Beam-Target Parameters
 ----------------------
 Total Beam-Target Fusion Power   =   .37451E-03 MW
 Total Power to Charged Particles =   .24711E-03 MW
 Total DT Neutron Rate            =   .00000E+00 n/s
 Total DD Neutron Rate            =   .32455E+15 n/s

 Neutral Beam Deposition Profiles
 --------------------------------
 Beam  1
     rho      hofr_1       hofr_2       hofr_3
   .00000   .55926E+01   .43240E+01   .32570E+01
   .02000   .11348E+02   .87680E+01   .66035E+01
   .04000   .74921E+01   .57898E+01   .43640E+01
   .06000   .66328E+01   .51311E+01   .38742E+01
   .08000   .61694E+01   .47819E+01   .36201E+01
   .10000   .58147E+01   .45202E+01   .34341E+01
   .12000   .54942E+01   .42884E+01   .32730E+01
   .14000   .51849E+01   .40691E+01   .31235E+01
   .16000   .48772E+01   .38536E+01   .29784E+01
   .18000   .45711E+01   .36401E+01   .28355E+01
   .20000   .42676E+01   .34287E+01   .26944E+01
   .22000   .33403E+01   .27212E+01   .21710E+01
   .24000   .28469E+01   .23507E+01   .19021E+01
   .26000   .25043E+01   .20962E+01   .17201E+01
   .28000   .22405E+01   .19014E+01   .15823E+01
   .30000   .20275E+01   .17444E+01   .14721E+01
   .32000   .18511E+01   .16146E+01   .13815E+01
   .34000   .17027E+01   .15053E+01   .13059E+01
   .36000   .15752E+01   .14117E+01   .12415E+01
   .38000   .14643E+01   .13305E+01   .11862E+01
   .40000   .13668E+01   .12593E+01   .11382E+01
   .42000   .12807E+01   .11967E+01   .10964E+01
   .44000   .12044E+01   .11412E+01   .10596E+01
   .46000   .11367E+01   .10921E+01   .10275E+01
   .48000   .10764E+01   .10484E+01   .99913E+00
   .50000   .10226E+01   .10098E+01   .97496E+00
   .52000   .97420E+00   .97505E+00   .95329E+00
   .54000   .93075E+00   .94427E+00   .93482E+00
