 Global NB Heating and Current Drive Parameters
 ----------------------------------------------
 TOTALS:
 Total Absorbed Power      =    4.3410 MW
 Total Lost Power          =     .0790 MW
 Total NB Driven Current   =   .15008E+06 A
 Total NBCD Efficiency     =   .34573E-01 A/W
 Total Beam Beta           =   .19820E-02
 Taus                      =   .41156E-02 s
 Volp                      =   .17990E+02 m3

 Information per Beamline and Energy Group:
 -----------------------------------------
                       Beam 1          Beam 2          Beam 3
                       ------          ------          ------
 Absorbed Power      .43410E+01
 Lost Power          .79008E-01
 NB driven current   .15008E+06
 NBCD efficiency     .34573E-01
 NBCD gamma          .16187E-01

 Beam Shinethrough
    energy group 1   .23520E-01
    energy group 2   .00000E+00
    energy group 3   .00000E+00

 Beam-Target Parameters
 ----------------------
 Total Beam-Target Fusion Power   =   .31472E-03 MW
 Total Power to Charged Particles =   .20769E-03 MW
 Total DT Neutron Rate            =   .00000E+00 n/s
 Total DD Neutron Rate            =   .27268E+15 n/s

 Neutral Beam Deposition Profiles
 --------------------------------
 Beam  1
     rho      hofr_1       hofr_2       hofr_3
   .00000   .49335E+01   .39781E+01   .31402E+01
   .02000   .99328E+01   .80107E+01   .63252E+01
   .04000   .65441E+01   .52827E+01   .41756E+01
   .06000   .57780E+01   .46724E+01   .37000E+01
   .08000   .53571E+01   .43431E+01   .34482E+01
   .10000   .50298E+01   .40916E+01   .32597E+01
   .12000   .47329E+01   .38668E+01   .30939E+01
   .14000   .44467E+01   .36526E+01   .29377E+01
   .16000   .41648E+01   .34427E+01   .27857E+01
   .18000   .38874E+01   .32353E+01   .26356E+01
   .20000   .36172E+01   .30317E+01   .24875E+01
   .22000   .33544E+01   .28330E+01   .23428E+01
   .24000   .31014E+01   .26415E+01   .22034E+01
   .26000   .28604E+01   .24587E+01   .20703E+01
   .28000   .26338E+01   .22862E+01   .19445E+01
   .30000   .23901E+01   .20974E+01   .18040E+01
   .32000   .20600E+01   .18315E+01   .15981E+01
   .34000   .18565E+01   .16712E+01   .14773E+01
   .36000   .16964E+01   .15454E+01   .13834E+01
   .38000   .15635E+01   .14414E+01   .13062E+01
