 Global NB Heating and Current Drive Parameters
 ----------------------------------------------
 TOTALS:
 Total Absorbed Power      =    4.8800 MW
 Total Lost Power          =     .0000 MW
 Total NB Driven Current   =   .14042E+06 A
 Total NBCD Efficiency     =   .28774E-01 A/W
 Total Beam Beta           =   .12458E-02
 Taus                      =   .13230E-01 s
 Volp                      =   .17797E+02 m3

 Information per Beamline and Energy Group:
 -----------------------------------------
                       Beam 1          Beam 2          Beam 3
                       ------          ------          ------
 Absorbed Power      .48800E+01
 Lost Power          .00000E+00
 NB driven current   .14042E+06
 NBCD efficiency     .28774E-01
 NBCD gamma          .27273E-01

 Beam Shinethrough
    energy group 1   .00000E+00
    energy group 2   .00000E+00
    energy group 3   .00000E+00

 Beam-Target Parameters
 ----------------------
 Total Beam-Target Fusion Power   =   .26432E-03 MW
 Total Power to Charged Particles =   .17443E-03 MW
 Total DT Neutron Rate            =   .00000E+00 n/s
 Total DD Neutron Rate            =   .22898E+15 n/s

 Neutral Beam Deposition Profiles
 --------------------------------
 Beam  1
     rho      hofr_1       hofr_2       hofr_3
   .00000   .13143E+01   .26030E+00   .74384E-01
   .02000   .26803E+01   .53836E+00   .15583E+00
   .04000   .18004E+01   .37646E+00   .11293E+00
   .06000   .16333E+01   .36348E+00   .11489E+00
   .08000   .15403E+01   .37256E+00   .12561E+00
   .10000   .14959E+01   .39433E+00   .14190E+00
   .12000   .14643E+01   .42205E+00   .16199E+00
   .14000   .14440E+01   .45387E+00   .18521E+00
   .16000   .14283E+01   .48813E+00   .21107E+00
   .18000   .14217E+01   .52370E+00   .23892E+00
   .20000   .14111E+01   .55840E+00   .26803E+00
   .22000   .13988E+01   .59151E+00   .29782E+00
   .24000   .13802E+01   .62194E+00   .32767E+00
   .26000   .13559E+01   .64908E+00   .35694E+00
   .28000   .13255E+01   .67267E+00   .38532E+00
   .30000   .12963E+01   .69347E+00   .41259E+00
   .32000   .12138E+01   .69696E+00   .43311E+00
   .34000   .11519E+01   .69929E+00   .45112E+00
   .36000   .11131E+01   .70487E+00   .46912E+00
   .38000   .10820E+01   .71106E+00   .48655E+00
   .40000   .10550E+01   .71710E+00   .50331E+00
   .42000   .10311E+01   .72308E+00   .51962E+00
   .44000   .10102E+01   .72974E+00   .53621E+00
   .46000   .99128E+00   .73685E+00   .55317E+00
   .48000   .97406E+00   .74470E+00   .57089E+00
   .50000   .96000E+00   .75547E+00   .59171E+00
   .52000   .94795E+00   .76753E+00   .61396E+00
   .54000   .93932E+00   .78218E+00   .63880E+00
   .56000   .93178E+00   .79725E+00   .66434E+00
   .58000   .92705E+00   .81450E+00   .69213E+00
   .60000   .92457E+00   .83392E+00   .72259E+00
   .62000   .92461E+00   .85565E+00   .75571E+00
   .64000   .92763E+00   .88020E+00   .79200E+00
   .66000   .93312E+00   .90726E+00   .83133E+00
   .68000   .94136E+00   .93711E+00   .87410E+00
   .70000   .95463E+00   .97365E+00   .92508E+00
   .72000   .96940E+00   .10123E+01   .97908E+00
   .74000   .98321E+00   .10512E+01   .10349E+01
   .76000   .99754E+00   .10918E+01   .10939E+01
   .78000   .10124E+01   .11345E+01   .11569E+01
   .80000   .10292E+01   .11827E+01   .12290E+01
   .82000   .10421E+01   .12282E+01   .13006E+01
   .84000   .10520E+01   .12729E+01   .13743E+01
   .86000   .10561E+01   .13134E+01   .14467E+01
   .88000   .10586E+01   .13577E+01   .15294E+01
   .90000   .10534E+01   .13939E+01   .16060E+01
   .92000   .10309E+01   .14151E+01   .16728E+01
   .94000   .96605E+00   .13887E+01   .16933E+01
   .96000   .79770E+00   .12046E+01   .15171E+01
   .98000   .46590E+00   .72451E+00   .93122E+00
  1.00000   .00000E+00   .00000E+00   .00000E+00

 Pitch Angle at Birth
 --------------------------------
 Angle  1
     rho      zeta_1       zeta_2       zeta_3
   .00000   .97854E+00   .97516E+00   .97301E+00
   .02000   .97803E+00   .97445E+00   .97214E+00
   .04000   .97652E+00   .97240E+00   .96973E+00
   .06000   .97401E+00   .96924E+00   .96618E+00
   .08000   .97021E+00   .96494E+00   .96170E+00
   .10000   .96594E+00   .96022E+00   .95688E+00
   .12000   .96106E+00   .95515E+00   .95183E+00
   .14000   .95590E+00   .94994E+00   .94670E+00
   .16000   .95050E+00   .94466E+00   .94153E+00
   .18000   .94525E+00   .93942E+00   .93634E+00
   .20000   .93984E+00   .93410E+00   .93111E+00
   .22000   .93442E+00   .92874E+00   .92583E+00
   .24000   .92882E+00   .92329E+00   .92050E+00
   .26000   .92304E+00   .91776E+00   .91512E+00
   .28000   .91700E+00   .91214E+00   .90968E+00
   .30000   .91112E+00   .90653E+00   .90423E+00
   .32000   .90202E+00   .89939E+00   .89788E+00
   .34000   .89420E+00   .89268E+00   .89166E+00
   .36000   .88783E+00   .88665E+00   .88583E+00
   .38000   .88183E+00   .88086E+00   .88018E+00
   .40000   .87608E+00   .87526E+00   .87468E+00
   .42000   .87051E+00   .86981E+00   .86930E+00
   .44000   .86509E+00   .86448E+00   .86404E+00
   .46000   .85981E+00   .85927E+00   .85888E+00
   .48000   .85464E+00   .85416E+00   .85381E+00
   .50000   .84957E+00   .84914E+00   .84882E+00
