   n0    forblav   morblav  eorblav  Vparav     forbl2   xmorbl2   eorbl2   Vpar2   
  1      .020      .005      .049  .129E+04      .057      .011      .139  .502E+04
  2      .023      .006      .054  .146E+04      .061      .012      .143  .573E+04
  3      .026      .007      .060  .170E+04      .067      .014      .151  .661E+04
  4      .029      .008      .066  .190E+04      .071      .016      .156  .737E+04
  5      .032      .009      .072  .212E+04      .076      .018      .161  .815E+04
  6      .036      .010      .079  .241E+04      .083      .020      .168  .909E+04
  7      .041      .012      .087  .274E+04      .090      .023      .176  .102E+05
  8      .045      .013      .094  .303E+04      .096      .026      .182  .112E+05
  9      .052      .015      .105  .350E+04      .105      .029      .192  .125E+05
 10      .059      .018      .116  .402E+04      .115      .033      .202  .139E+05
 11      .066      .021      .128  .454E+04      .124      .037      .211  .153E+05
 12      .074      .024      .140  .510E+04      .134      .041      .220  .167E+05
 13      .085      .028      .157  .597E+04      .147      .046      .233  .187E+05
 14      .097      .033      .172  .673E+04      .159      .052      .245  .204E+05
 15      .111      .039      .193  .782E+04      .174      .059      .261  .229E+05
 16      .134      .050      .223  .100E+05      .198      .070      .287  .272E+05
 17      .149      .056      .242  .106E+05      .212      .076      .304  .285E+05
 18      .174      .068      .274  .123E+05      .237      .087      .340  .314E+05
 19      .198      .079      .305  .130E+05      .263      .094      .381  .322E+05
 20      .237      .095      .356  .146E+05      .310      .102      .458  .329E+05
 21      .289      .110      .424  .156E+05      .379      .102      .564  .303E+05
 22      .373      .121      .529  .165E+05      .497      .087      .716  .234E+05
 23      .525      .114      .695  .179E+05      .694      .049      .890  .118E+05
 24      .806      .059      .912  .231E+05      .935      .006      .993  .146E+04
  n0   intrinD   intrinC
  1  .129E+04  .983E+03
  2  .146E+04  .111E+04
  3  .170E+04  .129E+04
  4  .190E+04  .145E+04
  5  .212E+04  .162E+04
  6  .241E+04  .184E+04
  7  .274E+04  .209E+04
  8  .303E+04  .232E+04
  9  .350E+04  .268E+04
 10  .402E+04  .309E+04
 11  .454E+04  .350E+04
 12  .510E+04  .397E+04
 13  .597E+04  .465E+04
 14  .673E+04  .530E+04
 15  .782E+04  .621E+04
 16  .100E+05  .792E+04
 17  .106E+05  .859E+04
 18  .123E+05  .101E+05
 19  .130E+05  .110E+05
 20  .146E+05  .125E+05
 21  .156E+05  .133E+05
 22  .165E+05  .133E+05
 23  .179E+05  .113E+05
 24  .231E+05  .553E+04
 n0        lost1       tally        ffrac1    ffrac2    ffrac3    nbdep1    nbdeplost1   nbdepkept1  NBIreturn
 1         .00        8.00         .00       .00       .00        5.05      .000E+00    .364E+22      .000E+00
 2         .00        8.00         .00       .00       .00       10.54      .000E+00    .759E+22      .000E+00
 3         .00        8.00         .00       .00       .00        6.99      .000E+00    .504E+22      .000E+00
 4         .00        8.00         .00       .00       .00        6.25      .000E+00    .450E+22      .000E+00
 5         .00        8.00         .00       .00       .00        5.88      .000E+00    .424E+22      .000E+00
 6         .00        8.00         .00       .00       .00        5.63      .000E+00    .406E+22      .000E+00
 7         .00        8.00         .00       .00       .00        5.43      .000E+00    .391E+22      .000E+00
 8         .00        8.00         .00       .00       .00        5.23      .000E+00    .377E+22      .000E+00
 9         .00        8.00         .00       .00       .00        5.03      .000E+00    .363E+22      .000E+00
10         .00        8.00         .00       .00       .00        4.82      .000E+00    .347E+22      .000E+00
11         .00        8.00         .00       .00       .00        4.59      .000E+00    .331E+22      .000E+00
12         .00        8.00         .00       .00       .00        4.34      .000E+00    .313E+22      .000E+00
13         .00        8.00         .00       .00       .00        4.05      .000E+00    .292E+22      .000E+00
14         .00        8.00         .00       .00       .00        3.69      .000E+00    .266E+22      .000E+00
15         .00        8.00         .00       .00       .00        3.28      .000E+00    .236E+22      .000E+00
16         .00        8.00         .00       .00       .00        3.02      .000E+00    .218E+22      .000E+00
17         .00        8.00         .00       .00       .00        2.81      .000E+00    .203E+22      .000E+00
18         .00        8.00         .00       .00       .00        2.63      .000E+00    .189E+22      .000E+00
19         .00        8.00         .00       .00       .00        2.46      .000E+00    .177E+22      .000E+00
20         .00        8.00         .00       .00       .00        2.30      .000E+00    .166E+22      .000E+00
21         .00        8.00         .00       .00       .00        2.15      .000E+00    .155E+22      .000E+00
22         .00        8.00         .00       .00       .00        2.01      .000E+00    .145E+22      .000E+00
23         .00        8.00         .00       .00       .00        1.87      .000E+00    .135E+22      .000E+00
24         .00        8.00         .00       .00       .00        1.73      .000E+00    .125E+22      .000E+00
25         .00        8.00         .00       .00       .00        1.60      .000E+00    .115E+22      .000E+00
26         .00        8.00         .00       .00       .00        1.48      .000E+00    .106E+22      .000E+00
27         .00        8.00         .00       .00       .00        1.35      .000E+00    .974E+21      .000E+00
28         .00        8.00         .00       .00       .00        1.23      .000E+00    .889E+21      .000E+00
29         .00        8.00         .00       .00       .00        1.12      .000E+00    .808E+21      .000E+00
30         .00        8.00         .00       .00       .00        1.01      .000E+00    .731E+21      .000E+00
31         .00        8.00         .00       .00       .00         .91      .000E+00    .658E+21      .000E+00
