    rho	     ne         ti         te  
  .864E+00  .343E+20  .178E+04  .135E+04
  .870E+00  .343E+20  .174E+04  .135E+04
  .876E+00  .343E+20  .172E+04  .131E+04
  .881E+00  .343E+20  .168E+04  .129E+04
  .887E+00  .342E+20  .164E+04  .126E+04
  .893E+00  .341E+20  .161E+04  .124E+04
  .898E+00  .340E+20  .158E+04  .122E+04
  .904E+00  .339E+20  .153E+04  .120E+04
  .910E+00  .338E+20  .150E+04  .117E+04
  .915E+00  .337E+20  .147E+04  .115E+04
  .921E+00  .336E+20  .142E+04  .112E+04
  .927E+00  .335E+20  .137E+04  .109E+04
  .932E+00  .334E+20  .134E+04  .108E+04
  .938E+00  .332E+20  .129E+04  .105E+04
  .944E+00  .331E+20  .124E+04  .103E+04
  .949E+00  .330E+20  .125E+04  .992E+03
  .955E+00  .329E+20  .114E+04  .988E+03
  .960E+00  .324E+20  .107E+04  .920E+03
  .966E+00  .315E+20  .950E+03  .865E+03
  .972E+00  .295E+20  .850E+03  .780E+03
  .977E+00  .270E+20  .720E+03  .670E+03
  .983E+00  .240E+20  .590E+03  .400E+03
  .989E+00  .187E+20  .475E+03  .320E+03
  .994E+00  .150E+20  .425E+03  .200E+03
  .100E+01  .719E+19  .400E+03  .910E+02
